id|creationDate|locationIP|browserUsed|content|length
481036337214|2011-04-05T12:16:29.646+0000|77.240.75.197|Chrome|yes|3
481036337215|2011-04-05T17:49:34.378+0000|213.180.31.8|Chrome|thanks|6
618475290690|2011-08-15T10:17:55.185+0000|41.203.141.129|Firefox|LOL|3
618475290691|2011-08-15T22:53:37.187+0000|27.34.96.255|Firefox|I see|5
618475290692|2011-08-15T10:14:25.915+0000|192.132.35.61|Firefox|fine|4
618475290693|2011-08-15T19:22:59.705+0000|78.157.31.166|Firefox|right|5
618475290694|2011-08-15T08:00:01.895+0000|196.201.3.234|Firefox|About Belgian Congo,  the formal title of present-day Democratic Republic of the Con|84
618475290695|2011-08-15T08:49:20.566+0000|24.40.206.125|Firefox|good|4
618475290696|2011-08-15T10:02:32.002+0000|46.229.60.223|Firefox|no|2
618475290697|2011-08-15T11:18:08.679+0000|27.98.244.93|Firefox|About Belgian Congo, elinquishment of his personal control over thAbout Disco Inferno, ta|89
618475290698|2011-08-15T17:38:01.774+0000|62.88.45.211|Firefox|cool|4
618475290699|2011-08-16T06:12:16.813+0000|118.82.247.65|Firefox|About Erwin Rommel, nsidered to have been one of the most About Disco Infe|74
618475290700|2011-08-15T12:20:05.584+0000|31.28.87.137|Firefox|good|4
618475290701|2011-08-15T10:24:22.950+0000|31.223.157.13|Firefox|thx|3
618475290702|2011-08-15T17:50:35.480+0000|193.169.241.240|Firefox|About Niccolò Machiavelli, held a position of responsibility in Florence, and is respectively interpreted by many asAbout Humphrey Bogart, anuary 14, 1957) was an American actor|177
618475290703|2011-08-15T15:47:17.675+0000|213.172.70.115|Firefox|good|4
618475290704|2011-08-15T07:48:50.560+0000|212.72.6.55|Firefox|duh|3
618475290705|2011-08-15T11:27:55.233+0000|41.77.103.73|Firefox|About Isabella I of Castile, right to the throne, she reorganized the governm|77
618475290706|2011-08-15T09:00:49.837+0000|178.209.14.38|Firefox|fine|4
618475290707|2011-08-15T07:50:53.313+0000|188.69.151.141|Firefox|About Che Guevara,  to second-in-command, and played a pivotal rAbout Niccolò Machiavelli|89
618475290708|2011-08-15T10:59:48.753+0000|31.169.53.56|Firefox|About Niccolò Machiavelli, enaissance. A founder of modern political About Joseph |82
549755814208|2011-07-02T19:06:09.040+0000|41.222.17.100|Firefox|no|2
549755814209|2011-07-02T23:54:36.623+0000|46.232.134.174|Firefox|great|5
549755814210|2011-07-02T19:06:47.939+0000|46.182.156.225|Firefox|About John Legend, age name John Legend, is an American singer-songwriter and actor. He has won nine Grammy Awards, and in 2007, he received the special Starlight award |169
549755814211|2011-07-03T03:39:19.869+0000|80.66.165.45|Firefox|About Prairie Wind, to the elder Young. Young recorded the album in Nashville be|80
549755814212|2011-07-02T20:17:29.885+0000|196.44.251.142|Internet Explorer|cool|4
549755814213|2011-07-02T19:22:11.269+0000|120.28.68.60|Firefox|roflol|6
549755814214|2011-07-02T18:51:49.011+0000|14.206.234.154|Internet Explorer|cool|4
687194768314|2011-10-02T21:22:07.091+0000|124.248.191.126|Opera|About Søren Kierkegaard, his works. Notably, he wrote: Science and scholarship want to teach that becAbout Al Green, tain things, and Al was born to m|150
687194768315|2011-10-02T14:39:46.506+0000|88.85.122.135|Firefox|About The Saints Are Coming, e Scottish punk rock band Skids, featured on their 1979 debu|89
687194768316|2011-10-03T00:28:15.374+0000|190.107.12.24|Firefox|no|2
687194768317|2011-10-02T23:48:31.048+0000|212.38.159.31|Opera|LOL|3
687194768318|2011-10-02T15:57:44.975+0000|79.99.62.6|Firefox|ok|2
687194768319|2011-10-03T05:05:35.279+0000|41.191.105.180|Opera|thanks|6
687194768320|2011-10-03T00:14:28.571+0000|197.118.134.187|Opera|About Kurt Vonnegut, . was a 20th century American writer. His works such as Cat's Cradle (1963), Slaughterhouse-Five (1969), and Breakfast of Champions (1973) blend sati|170
687194768321|2011-10-02T13:32:44.791+0000|119.59.101.23|Firefox|yes|3
687194768322|2011-10-02T13:50:56.032+0000|203.83.16.229|Opera|About Søren Kierkegaard, hurch of Denmark. He is widely consideredAbout I Wanna B|81
687194768323|2011-10-02T22:07:35.050+0000|193.194.73.11|Firefox|About Congo Free State, blic pressure and diplomatic manoeuvres led to the end|78
687194768324|2011-10-02T22:10:34.224+0000|202.1.48.194|Firefox|LOL|3
687194768325|2011-10-03T00:33:27.583+0000|200.11.36.141|Firefox|good|4
687194768326|2011-10-03T06:13:18.172+0000|49.246.182.84|Firefox|yes|3
