Person.id|Organisation.id|workFrom
17592186044428|296|2009
17592186044428|298|2010
10995116277848|915|2008
10995116277848|923|2001
10995116277848|927|2003
13194139533402|1558|2003
13194139533402|1559|2003
4398046511143|1093|2007
4398046511143|1095|2007
4398046511143|1047|2007
4398046511143|1083|2007
8796093022228|776|2011
65|758|2008
6597069766738|706|2003
6597069766738|810|2003
6597069766738|811|2003
6597069766738|812|2004
10995116277761|496|2008
10995116277761|514|2007
10995116277761|293|2008
15393162788895|448|2003
15393162788895|459|2002
15393162788895|462|2002
17592186044509|21|2008
17592186044509|30|2007
17592186044509|31|2008
4398046511173|676|2000
4398046511173|677|2000
4398046511173|680|2002
4398046511173|668|2001
6597069766716|482|2010
17592186044430|593|2002
17592186044430|1011|2002
17592186044430|598|2004
17592186044430|605|2003
21990232555554|22|2008
21990232555554|31|2006
2199023255600|832|2011
2199023255600|842|2007
2199023255600|829|2009
2199023255637|928|2009
2199023255637|913|2008
2199023255637|924|2009
2199023255637|813|2008
13194139533337|624|2006
13194139533337|642|2006
13194139533337|630|2006
13194139533337|621|2007
13194139533337|622|2007
2199023255558|930|2005
2199023255558|936|2006
2199023255558|921|2006
2199023255558|923|2007
13194139533378|919|2001
13194139533378|920|1999
13194139533378|937|2000
13194139533378|911|2001
17592186044499|1089|2005
17592186044499|1057|2004
17592186044499|1098|2005
17592186044499|1101|2005
4398046511141|914|2010
4398046511141|915|2004
4398046511141|937|2006
10995116277818|766|2007
17592186044443|980|2008
17592186044490|921|2006
17592186044490|922|2006
17592186044490|925|2006
17592186044490|927|2007
19791209300039|1117|2002
19791209300039|1118|2002
4398046511107|1056|2004
4398046511107|1075|2004
4398046511107|1034|2004
4398046511107|1070|2003
6597069766661|1139|2009
6597069766661|597|2009
6597069766661|814|2010
15393162788955|1177|2003
19791209299992|917|2008
19791209299992|919|2011
19791209299992|937|2005
19791209299992|938|1999
19791209299992|906|2004
4398046511181|465|2006
8796093022287|984|2000
8796093022287|985|2001
4398046511126|671|2006
94|928|2001
94|937|2000
94|910|2001
10995116277769|103|2005
13194139533328|971|2008
21990232555553|134|2003
21990232555553|8|2004
21990232555553|11|2002
13194139533348|933|2006
10995116277802|9|2011
10995116277802|11|2003
19791209300014|802|2010
19791209300014|781|2009
10995116277789|934|2006
10995116277789|911|2005
17592186044456|166|2007
17592186044456|156|2007
13194139533364|676|2003
13194139533364|680|2002
8796093022262|259|2007
8796093022262|937|2010
21990232555555|896|2011
21990232555555|897|2010
21990232555555|364|2011
21990232555555|895|2010
2199023255565|1331|2009
2199023255565|1348|2010
2199023255565|1326|2006
13194139533330|1153|2002
13194139533330|1166|2002
13194139533330|1151|2003
19791209300048|892|2002
8796093022227|1569|2008
8796093022227|1573|2008
8796093022227|1574|2008
10995116277803|913|2007
10995116277803|930|2005
8796093022240|800|2001
8796093022240|784|2001
8796093022240|808|2003
8796093022240|780|2003
13194139533312|932|2007
13194139533312|918|2005
17592186044423|912|2008
17592186044423|934|2008
17592186044423|924|2007
17592186044423|926|2007
15393162788915|708|2009
2199023255593|912|2005
2199023255593|937|2006
2199023255593|922|2005
10995116277807|1227|2003
10995116277807|1228|2005
10995116277807|1230|2004
4398046511185|803|2004
15393162788868|1562|2008
15393162788868|1563|2007
15393162788868|1564|2008
2199023255562|443|2008
2199023255562|446|2009
2199023255562|463|2009
21990232555569|937|2003
10995116277783|1472|2010
10995116277783|1490|2010
10995116277783|1445|2009
10995116277783|1516|2010
10995116277783|1453|2010
19791209300024|305|2007
19791209300024|771|2004
19791209300024|299|2006
19791209300024|300|2004
19791209300024|303|2006
4398046511168|286|2003
2199023255628|1176|2012
2199023255628|1178|2011
2199023255628|861|2011
96|914|2011
96|920|2000
96|937|2009
96|905|2006
96|909|2009
2199023255625|938|2004
2199023255625|908|2003
2199023255625|927|2004
21990232555618|933|2008
21990232555618|918|2007
21990232555618|919|2008
21990232555618|926|2009
10995116277762|999|2008
10995116277762|569|2010
10995116277762|555|2009
6597069766742|779|2003
6597069766742|796|2004
6597069766742|797|2003
6597069766742|782|2004
6597069766742|783|2003
15393162788908|1053|2008
17592186044446|1256|2003
17592186044446|1243|2007
17592186044446|1245|2005
17592186044484|897|2009
17592186044484|887|2008
17592186044484|888|2011
17592186044484|890|2010
17592186044484|893|2008
4398046511167|486|2005
4398046511167|457|2005
6597069766684|1248|2008
6597069766684|1239|2008
17592186044454|805|2004
17592186044454|806|2006
17592186044454|791|2004
17592186044454|793|2005
